concentration,measurement,fit,stderr,serum,virus,upper,lower
0.006848804217830545,,2.7230968769899772e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.007173721600969563,,2.4722599938073888e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.0075140535444476065,,2.244528322275545e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.00787053133776402,,2.0377736748018917e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.008243920963871623,,1.8500638720531674e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.008635024745085353,,1.6796446932089963e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.00904468306707525,,1.5249234878615981e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.00947377618464823,,1.3844542966786732e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.009923226113198782,,1.2569243419975535e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.010393998609892905,,1.1411417622809832e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.01088710524884232,,1.0360244759562304e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.010893,5e-06,1.0348559008735443e-05,4.9999999999999996e-06,dimeric-bEFNB2,NiV-pseudo,9.999999999999999e-06,8.470329472543003e-22
0.011403605594728021,,9.405900706866361e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.011944609479543724,,8.539466236855066e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.012511279387351387,,7.752843673649681e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.013104832952173108,,7.038681224974121e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.013726545574386573,,6.390304282276497e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.014377753161246301,,5.8016530477613635e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.015059854997419199,,5.26722590578243e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.01577431675170256,,4.782028009661227e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.016522673626385233,,4.341524603682915e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.0173065336560191,,3.941598644227747e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.018127581162689144,,3.578512324137506e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.018987580375206693,,3.2488721408638026e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.01988837922000243,,2.9495971820392615e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.020831913291865064,,2.67789033216106e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.021820210013057628,,2.431212131359569e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.022855392989748452,,2.207257041996815e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.023939686575117615,,2.003931901331386e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.025075420648943924,,1.8193363589077926e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.026265035623942553,,1.6517451158697435e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.027511087689610705,,1.4995918002312496e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.028816254304849076,,1.3614543274239438e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.03018333995116149,,1.2360416093162228e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.031615282158794535,,1.1221814874992928e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.03268,5e-06,1.0472992958850806e-06,4.9999999999999996e-06,dimeric-bEFNB2,NiV-pseudo,9.999999999999999e-06,8.470329472543003e-22
0.03311515781876647,,1.0188097780743557e-06,,dimeric-bEFNB2,NiV-pseudo,,
0.034686189794347976,,9.249603255611556e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.03633175384620122,,8.397559729775349e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.03805538588605796,,7.624003637007406e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.039860789574522604,,6.921704984939663e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.04175184427932646,,6.284099781384364e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.0437326134111332,,5.705228685183335e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.045807353154807294,,5.179681308227291e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.04798052161490665,,4.702545648098357e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.05025678839505106,,4.2693621787363293e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.05264104463174984,,3.8760821700606407e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.055138413504249216,,3.5190298470017214e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.057754261242982316,,3.1948680342772507e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.06049420866027632,,2.9005669658254995e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.06336414322809332,,2.633375967384179e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.06637023172875703,,2.3907977475551307e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.069518933505849,,2.170565057073852e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.07281701434374611,,1.9706194981361088e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.07627156100562468,,1.789092285728068e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.07988999646116843,,1.6242867811501945e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.08368009583670157,,1.4746626344880219e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.08765000312201975,,1.3388213878204295e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.09180824866981767,,1.2154934046082985e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.09616376752531541,,1.1035260031011652e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.098039,2.5e-05,1.059973618367139e-07,1.4999999999999999e-05,dimeric-bEFNB2,NiV-pseudo,3.9999999999999996e-05,1.0000000000000003e-05
0.10072591862546933,,1.0018726828524833e-07,,dimeric-bEFNB2,NiV-pseudo,,
0.10550450490902177,,9.095833436505849e-08,,dimeric-bEFNB2,NiV-pseudo,,
0.11050979438060136,,8.257954054477798e-08,,dimeric-bEFNB2,NiV-pseudo,,
0.11575254217413515,,7.49725746291029e-08,,dimeric-bEFNB2,NiV-pseudo,,
0.12124401366298176,,6.806633829029126e-08,,dimeric-bEFNB2,NiV-pseudo,,
0.12699600866644328,,6.179628255026575e-08,,dimeric-bEFNB2,NiV-pseudo,,
0.13302088680466978,,5.610380447586582e-08,,dimeric-bEFNB2,NiV-pseudo,,
0.13933159405643816,,5.093569944851164e-08,,dimeric-bEFNB2,NiV-pseudo,,
0.14594169057687076,,4.62436638889619e-08,,dimeric-bEFNB2,NiV-pseudo,,
0.15286537983486825,,4.198384378941679e-08,,dimeric-bEFNB2,NiV-pseudo,,
0.16011753913286458,,3.8116424833353754e-08,,dimeric-bEFNB2,NiV-pseudo,,
0.16771375157448545,,3.4605260272175206e-08,,dimeric-bEFNB2,NiV-pseudo,,
0.17567033954879765,,3.141753308064116e-08,,dimeric-bEFNB2,NiV-pseudo,,
0.18400439980310268,,2.852344923343913e-08,,dimeric-bEFNB2,NiV-pseudo,,
0.19273384017963427,,2.589595923611832e-08,,dimeric-bEFNB2,NiV-pseudo,,
0.20187741809509951,,2.351050530768983e-08,,dimeric-bEFNB2,NiV-pseudo,,
0.21145478084574618,,2.1344791851947025e-08,,dimeric-bEFNB2,NiV-pseudo,,
9.274831736462816e-05,,0.9149892662993994,,monomeric-bEFNB2,NiV-pseudo,,
9.714715734175318e-05,,0.9111289368622346,,monomeric-bEFNB2,NiV-pseudo,,
0.00010175462421038571,,0.9071111062427447,,monomeric-bEFNB2,NiV-pseudo,,
0.00010658061266551074,,0.902930982766221,,monomeric-bEFNB2,NiV-pseudo,,
0.00011163548668480283,,0.8985837792564964,,monomeric-bEFNB2,NiV-pseudo,,
0.00011693010178562826,,0.8940647292274648,,monomeric-bEFNB2,NiV-pseudo,,
0.00012247582833764515,,0.889369104468538,,monomeric-bEFNB2,NiV-pseudo,,
0.0001282845759810671,,0.884492234048885,,monomeric-bEFNB2,NiV-pseudo,,
0.00013436881920302822,,0.8794295247547262,,monomeric-bEFNB2,NiV-pseudo,,
0.0001407416241269779,,0.8741764829617469,,monomeric-bEFNB2,NiV-pseudo,,
0.00014741667657263392,,0.8687287379307735,,monomeric-bEFNB2,NiV-pseudo,,
0.00015440831144675516,,0.8630820664992114,,monomeric-bEFNB2,NiV-pseudo,,
0.00016173154352785142,,0.8572324191233228,,monomeric-bEFNB2,NiV-pseudo,,
0.00016940209971094133,,0.8511759472073073,,monomeric-bEFNB2,NiV-pseudo,,
0.00017743645278160504,,0.844909031634349,,monomeric-bEFNB2,NiV-pseudo,,
0.00018585185679186291,,0.8384283123924563,,monomeric-bEFNB2,NiV-pseudo,,
0.00019466638411385107,,0.8317307191641865,,monomeric-bEFNB2,NiV-pseudo,,
0.0002,0.769185,0.827722528648202,0.0026349999999999707,monomeric-bEFNB2,NiV-pseudo,0.77182,0.7665500000000001
0.00020389896425086754,,0.8248135027244452,,monomeric-bEFNB2,NiV-pseudo,,
0.00021356942448913773,,0.8176742669647263,,monomeric-bEFNB2,NiV-pseudo,,
0.00022369853247759886,,0.8103110013357834,,monomeric-bEFNB2,NiV-pseudo,,
0.00023430804082714784,,0.8027221134741636,,monomeric-bEFNB2,NiV-pseudo,,
0.0002454207338251273,,0.7949064617517682,,monomeric-bEFNB2,NiV-pseudo,,
0.0002570604763653733,,0.7868633874621408,,monomeric-bEFNB2,NiV-pseudo,,
0.00026925226519890346,,0.7785927463331114,,monomeric-bEFNB2,NiV-pseudo,,
0.0002820222826153065,,0.7700949390333581,,monomeric-bEFNB2,NiV-pseudo,,
0.0002953979526701182,,0.7613709403210507,,monomeric-bEFNB2,NiV-pseudo,,
0.0003094080000789323,,0.752422326466719,,monomeric-bEFNB2,NiV-pseudo,,
0.0003240825119047236,,0.7432513005705068,,monomeric-bEFNB2,NiV-pseudo,,
0.00033945300217086015,,0.7338607153867667,,monomeric-bEFNB2,NiV-pseudo,,
0.00035555247953856237,,0.7242540932671281,,monomeric-bEFNB2,NiV-pseudo,,
0.0003724155181941462,,0.7144356428373934,,monomeric-bEFNB2,NiV-pseudo,,
0.00039007833209829263,,0.7044102720343518,,monomeric-bEFNB2,NiV-pseudo,,
0.00040857885275677935,,0.6941835971463404,,monomeric-bEFNB2,NiV-pseudo,,
0.00042795681067970973,,0.6837619475263487,,monomeric-bEFNB2,NiV-pseudo,,
0.0004482538207041604,,0.6731523656788783,,monomeric-bEFNB2,NiV-pseudo,,
0.00046951347136348813,,0.6623626024615374,,monomeric-bEFNB2,NiV-pseudo,,
0.0004917814184952176,,0.6514011071893026,,monomeric-bEFNB2,NiV-pseudo,,
0.0005151054832885373,,0.6402770124830659,,monomeric-bEFNB2,NiV-pseudo,,
0.0005395357549819623,,0.6290001137639059,,monomeric-bEFNB2,NiV-pseudo,,
0.0005651246984317123,,0.6175808433596005,,monomeric-bEFNB2,NiV-pseudo,,
0.0005919272667818115,,0.6060302392592553,,monomeric-bEFNB2,NiV-pseudo,,
0.0006,0.634845,0.6026304821857069,0.013824999999999976,monomeric-bEFNB2,NiV-pseudo,0.64867,0.62102
0.0006200010194778694,,0.594359908624287,,monomeric-bEFNB2,NiV-pseudo,,
0.0006494062458779943,,0.5825819862380438,,monomeric-bEFNB2,NiV-pseudo,,
0.0006802060947262731,,0.5707090881505436,,monomeric-bEFNB2,NiV-pseudo,,
0.0007124667097668978,,0.558754260847575,,monomeric-bEFNB2,NiV-pseudo,,
0.000746257371790148,,0.5467309263431565,,monomeric-bEFNB2,NiV-pseudo,,
0.0007816506474152927,,0.5346528236593925,,monomeric-bEFNB2,NiV-pseudo,,
0.0008187225449299238,,0.522533947216633,,monomeric-bEFNB2,NiV-pseudo,,
0.0008575526775203905,,0.5103884827080228,,monomeric-bEFNB2,NiV-pseudo,,
0.0008982244342438807,,0.4982307410747692,,monomeric-bEFNB2,NiV-pseudo,,
0.000940825159109314,,0.48607509123069065,,monomeric-bEFNB2,NiV-pseudo,,
0.000985446338651633,,0.47393589220596855,,monomeric-bEFNB2,NiV-pseudo,,
0.0010321837984023075,,0.46182742539000604,,monomeric-bEFNB2,NiV-pseudo,,
0.001081137908677999,,0.4497638275515755,,monomeric-bEFNB2,NiV-pseudo,,
0.0011324138001292828,,0.4377590253011367,,monomeric-bEFNB2,NiV-pseudo,,
0.001186121589512387,,0.42582667163557403,,monomeric-bEFNB2,NiV-pseudo,,
0.0012423766161687292,,0.4139800851704009,,monomeric-bEFNB2,NiV-pseudo,,
0.0013012996897201685,,0.4022321926194724,,monomeric-bEFNB2,NiV-pseudo,,
0.0013630173495118533,,0.39059547502872394,,monomeric-bEFNB2,NiV-pseudo,,
0.0014276621363598593,,0.37908191820961523,,monomeric-bEFNB2,NiV-pseudo,,
0.0014953728771871897,,0.3677029677513849,,monomeric-bEFNB2,NiV-pseudo,,
0.0015662949831594104,,0.3564694889204299,,monomeric-bEFNB2,NiV-pseudo,,
0.0016405807619601762,,0.3453917316817718,,monomeric-bEFNB2,NiV-pseudo,,
0.001718389744877257,,0.33447930100325884,,monomeric-bEFNB2,NiV-pseudo,,
0.00179,0.35843,0.32500846803803785,0.02058,monomeric-bEFNB2,NiV-pseudo,0.37901,0.33785000000000004
0.0017998890294015336,,0.3237411325294473,,monomeric-bEFNB2,NiV-pseudo,,
0.0018852536380746328,,0.3131854736404873,,monomeric-bEFNB2,NiV-pseudo,,
0.001974666894355935,,0.30281986984309583,,monomeric-bEFNB2,NiV-pseudo,,
0.002068320816316041,,0.29265115637707034,,monomeric-bEFNB2,NiV-pseudo,,
0.0021664165290022582,,0.28268545486266494,,monomeric-bEFNB2,NiV-pseudo,,
0.0022691646963616126,,0.2729281747623866,,monomeric-bEFNB2,NiV-pseudo,,
0.0023767859736489867,,0.26338401938586303,,monomeric-bEFNB2,NiV-pseudo,,
0.002489511481291935,,0.25405699612879096,,monomeric-bEFNB2,NiV-pseudo,,
0.002607583301229823,,0.2449504306067405,,monomeric-bEFNB2,NiV-pseudo,,
0.0027312549967931955,,0.23606698432173615,,monomeric-bEFNB2,NiV-pseudo,,
0.002860792157239816,,0.2274086754838854,,monomeric-bEFNB2,NiV-pseudo,,
0.002996472968116839,,0.2189769026015191,,monomeric-bEFNB2,NiV-pseudo,,
0.0031385888086738895,,0.21077247045092137,,monomeric-bEFNB2,NiV-pseudo,,
0.003287444877610157,,0.20279561804015986,,monomeric-bEFNB2,NiV-pseudo,,
0.003443360848499143,,0.19504604819021765,,monomeric-bEFNB2,NiV-pseudo,,
0.0036066715562988057,,0.18752295836983027,,monomeric-bEFNB2,NiV-pseudo,,
0.0037777277164212013,,0.18022507243753394,,monomeric-bEFNB2,NiV-pseudo,,
0.003956896677906037,,0.17315067296465325,,monomeric-bEFNB2,NiV-pseudo,,
0.004144563212315469,,0.16629763383568802,,monomeric-bEFNB2,NiV-pseudo,,
0.004341130340044382,,0.15966345284709352,,monomeric-bEFNB2,NiV-pseudo,,
0.0045470201958206745,,0.15324528405120327,,monomeric-bEFNB2,NiV-pseudo,,
0.004762674935254238,,0.14703996961844507,,monomeric-bEFNB2,NiV-pseudo,,
0.004988557684381476,,0.14104407101755473,,monomeric-bEFNB2,NiV-pseudo,,
0.005225153534244509,,0.13525389933974538,,monomeric-bEFNB2,NiV-pseudo,,
0.00537,0.09098,0.13193205583934126,0.006179999999999994,monomeric-bEFNB2,NiV-pseudo,0.09716,0.08480000000000001
0.005472970582641083,,0.1296655446183698,,monomeric-bEFNB2,NiV-pseudo,,
0.00573254102528214,,0.12427490402021472,,monomeric-bEFNB2,NiV-pseudo,,
0.006004422298700663,,0.11907770880789757,,monomeric-bEFNB2,NiV-pseudo,,
0.0062891982773658865,,0.11406954999475631,,monomeric-bEFNB2,NiV-pseudo,,
0.006587480527574051,,0.10924590263392389,,monomeric-bEFNB2,NiV-pseudo,,
0.00689990962080821,,0.1046021487019238,,monomeric-bEFNB2,NiV-pseudo,,
